name,release_year,poster,imdbid,streaming,rent,buy,num_streaming
La memoria infinita,2023,https://images.justwatch.com/poster/310096107/s718/the-eternal-memory.jpg,tt24082488,"['Paramount+ Roku Premium Channel', 'Paramount+ MTV Amazon Channel', 'Paramount Plus Essential', 'Paramount Plus Premium']","['Amazon Video ($3.99)', 'Apple TV Store ($3.99)', 'Fandango At Home ($3.99)']","['Google Play Movies ($13.99)', 'YouTube ($13.99)']",4
Four Daughters,2023,https://images.justwatch.com/poster/310206470/s718/four-daughters-2023.jpg,tt27502426,['Kino Film Collection'],"['Amazon Video ($2.99)', 'Fandango At Home ($2.99)', 'Apple TV Store ($3.99)', 'Google Play Movies ($4.99)', 'YouTube ($4.99)']",['Barnes & Noble ($14.99)'],1
To Kill a Tiger,2023,https://images.justwatch.com/poster/312407466/s718/to-kill-a-tiger.jpg,tt21688772,"['Netflix', 'Netflix Standard with Ads']",[],[],2
20 Days in Mariupol,2023,https://images.justwatch.com/poster/312371228/s718/20-days-in-mariupol.jpg,tt24082438,['PBS Documentaries Amazon Channel'],"['Amazon Video ($1.99)', 'Google Play Movies ($2.99)', 'YouTube ($2.99)', 'Fandango At Home ($2.99)']",[],1
The Barber of Little Rock,2023,https://images.justwatch.com/poster/311332226/s718/the-barber-of-little-rock.jpg,tt28627868,[],[],[],0
Island in Between,2023,https://images.justwatch.com/poster/312290828/s718/island-in-between.jpg,tt30523942,[],[],[],0
The Last Repair Shop,2024,https://images.justwatch.com/poster/311344549/s718/the-last-repair-shop.jpg,tt29118186,['Disney Plus'],[],[],1
Nǎi Nai & Wài Pó,2024,https://images.justwatch.com/poster/316031894/s718/nai-nai-and-wai-po.jpg,tt26218316,['Disney Plus'],[],[],1
Io capitano,2023,https://images.justwatch.com/poster/321743567/s718/io-capitano.jpg,tt14225838,[],"['Amazon Video ($4.99)', 'Google Play Movies ($4.99)', 'YouTube ($4.99)', 'Fandango At Home ($4.99)', 'Apple TV Store ($5.99)', 'Plex ($5.99)']","['Amazon DVD / Blu-ray ($8.99)', 'Barnes & Noble ($9.99)']",0
Perfect Days,2023,https://images.justwatch.com/poster/310831441/s718/perfect-days.jpg,tt27503384,['Hulu'],"['Amazon Video ($3.59)', 'Apple TV Store ($3.99)', 'Google Play Movies ($3.99)', 'YouTube ($3.99)', 'Fandango At Home ($3.99)', 'Spectrum On Demand ($3.99)']","['Amazon DVD / Blu-ray ($29.57)', 'Barnes & Noble ($29.99)']",1
