Ceremony,Year,Class,CanonicalCategory,Category,NomId,Film,FilmId,Name,Nominees,NomineeIds,Winner,Detail,Note,Citation,MultifilmNomination,YearStart
97,2024,Production,SOUND MIXING,SOUND,fake_nomid067,Emilia Pérez,tt20221436,"Erwan Kerzanet, Aymeric Devoldère, Maxence Dussère, Cyril Holtz and Niels Barletta","Erwan Kerzanet, Aymeric Devoldère, Maxence Dussère, Cyril Holtz, Niels Barletta","nm1052723,nm0222862,nm5687717,nm0392652,nm4069968",,,,,,2024
97,2024,Production,SOUND MIXING,SOUND,fake_nomid068,Wicked,tt1262426,"Simon Hayes, Nancy Nugent Title, Jack Dolman, Andy Nelson and John Marquis","Simon Hayes, Nancy Nugent Title, Jack Dolman, Andy Nelson, John Marquis","nm1536532,nm0637810,nm3387973,nm0625144,nm1308738",,,,,,2024
97,2024,Production,SOUND MIXING,SOUND,fake_nomid069,The Wild Robot,tt29623480,"Randy Thom, Brian Chumney, Gary A. Rizzo and Leff Lefferts","Randy Thom, Brian Chumney, Gary A. Rizzo, Leff Lefferts","nm0858378,nm1014073,nm0729886,nm1396496",,,,,,2024
97,2024,Production,VISUAL EFFECTS,VISUAL EFFECTS,fake_nomid085,Alien: Romulus,tt18412256,"Eric Barba, Nelson Sepulveda-Fauser, Daniel Macarin and Shane Mahan","Eric Barba, Nelson Sepulveda-Fauser, Daniel Macarin, Shane Mahan","nm0053146,nm0784700,nm1652052,nm0536752",,,,,,2024
97,2024,Production,VISUAL EFFECTS,VISUAL EFFECTS,fake_nomid086,Better Man,tt14260836,"Luke Millar, David Clayton, Keith Herft and Peter Stubbs","Luke Millar, David Clayton, Keith Herft, Peter Stubbs","nm1515480,nm2238085,nm1981800,nm0835934",,,,,,2024
97,2024,Production,VISUAL EFFECTS,VISUAL EFFECTS,fake_nomid087,Dune: Part Two,tt15239678,"Paul Lambert, Stephen James, Rhys Salcombe and Gerd Nefzer","Paul Lambert, Stephen James, Rhys Salcombe, Gerd Nefzer","nm0995902,nm2133637,nm2399047,nm0275382",True,,,,,2024
97,2024,Production,VISUAL EFFECTS,VISUAL EFFECTS,fake_nomid088,Kingdom of the Planet of the Apes,tt11389872,"Erik Winquist, Stephen Unterfranz, Paul Story and Rodney Burke","Erik Winquist, Stephen Unterfranz, Paul Story, Rodney Burke","nm0935445,nm0881359,nm0832737,nm0121849",,,,,,2024
97,2024,Production,VISUAL EFFECTS,VISUAL EFFECTS,fake_nomid089,Wicked,tt1262426,"Pablo Helman, Jonathan Fawkner, David Shirk and Paul Corbould","Pablo Helman, Jonathan Fawkner, David Shirk, Paul Corbould","nm0375666,nm1000834,nm1874068,nm0179274",,,,,,2024
97,2024,Writing,WRITING (Adapted Screenplay),WRITING (Adapted Screenplay),fake_nomid041,A Complete Unknown,tt11563598,Screenplay by James Mangold and Jay Cocks,"James Mangold, Jay Cocks","nm0003506,nm0168379",,,,,,2024
97,2024,Writing,WRITING (Adapted Screenplay),WRITING (Adapted Screenplay),fake_nomid040,Conclave,tt20215234,Screenplay by Peter Straughan,Peter Straughan,nm1661186,True,,,,,2024
